gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	typifiedName	protocol	lastParsed	lastCrawled	repatriated
163989226																																																											UGENT	nematodes			PRESERVED_SPECIMEN					100118																																																				FR				Host. Ligustrum																																																										Meloidogyne litoralis Elmiligy, 1968								Animalia	Nematoda	Secernentea	Rhabditida	Meloidogynidae	Meloidogyne		litoralis		SPECIES							b24d3bd0-e6d9-11dc-8b77-b8a03c50a862	BE	2016-04-17T12:49Z							TAXON_MATCH_FUZZY		false	false	4556293	1	5967481	250	440	4556279	2283979		4556292	Meloidogyne ardenensis	Meloidogyne		TAPIR	2014-05-29T12:06Z	2016-06-28T13:43Z	false
163989258																																																											UGENT	nematodes			PRESERVED_SPECIMEN					100170																																																																																																																		Metadorylaimus pachylaimus Jairajpuri & Goodey, 1966								Animalia	Nematoda	Adenophorea	Dorylaimida	Tylencholaimidae	Metadorylaimus		pachylaimus		SPECIES							b24d3bd0-e6d9-11dc-8b77-b8a03c50a862	BE	2016-04-17T12:49Z									false	false	7016847	1	5967481	251	446	5983	4631028		7016847	Metadorylaimus pachylaimus	Metadorylaimus		TAPIR	2014-05-29T12:06Z	2016-06-28T13:43Z	
163989274																																																											UGENT	nematodes			PRESERVED_SPECIMEN					100178																																																																																																																		Heterodera oryzicola Rao & Jayaprakash, 1978								Animalia	Nematoda	Secernentea	Tylenchida	Heteroderidae	Heterodera		oryzicola		SPECIES							b24d3bd0-e6d9-11dc-8b77-b8a03c50a862	BE	2016-04-17T12:49Z							TAXON_MATCH_FUZZY		false	false	7025491	1	5967481	250	972	6466	2283969		7025491	Heterodera oryzicola	Heterodera		TAPIR	2014-05-29T12:06Z	2016-06-28T13:43Z	
163989324																																																											UGENT	nematodes			PRESERVED_SPECIMEN					100230																																																				MW				Eucalyptus saligna, Njaeli Tea Res. Stn Chole																																																										Neomalenchus malawiensis Siddiqi, 1979								Animalia	Nematoda	Secernentea	Tylenchida	Tylenchidae	Malenchus		malawiensis		SPECIES							b24d3bd0-e6d9-11dc-8b77-b8a03c50a862	BE	2016-04-17T12:49Z									false	false	7025408	1	5967481	250	972	6463	4406178		7025408	Neomalenchus malawiensis	Neomalenchus		TAPIR	2014-05-29T12:06Z	2016-06-28T13:43Z	false
163989378																																																											UGENT	nematodes			PRESERVED_SPECIMEN					100289																																																																																																																		Monhystrella parelegantula (De Coninck, 1943)								Animalia	Nematoda	Adenophorea	Monhysterida	Monhysteridae	Monhystrella		parelegantula		SPECIES							b24d3bd0-e6d9-11dc-8b77-b8a03c50a862	BE	2016-04-17T12:49Z									false	false	4348599	1	5967481	251	445	2570	2279677		4348599	Monhystrella parelegantula	Monhystrella		TAPIR	2014-05-29T12:06Z	2016-06-28T13:43Z	
163989412																																																											UGENT	nematodes			PRESERVED_SPECIMEN					100331																																																				KR				Apple; An-Shim-Nyon																																																										Hemicycliophora koreana Choi & Geraert, 1971								Animalia	Nematoda	Secernentea	Tylenchida	Criconematidae	Hemicycliophora		koreana		SPECIES							b24d3bd0-e6d9-11dc-8b77-b8a03c50a862	BE	2016-04-17T12:49Z									false	false	7023091	1	5967481	250	972	2552	2284090		7023091	Hemicycliophora koreana	Hemicycliophora		TAPIR	2014-05-29T12:06Z	2016-06-28T13:43Z	false
163989852																																																											UGENT	nematodes			PRESERVED_SPECIMEN					100879																														1980-06-05T00:00Z				1980	6	5																JP				Quercus serrata, MT. ASO Kumamoto																																																										Ogma trigonolepidum Minagawa, 1988								Animalia	Nematoda	Secernentea	Tylenchida	Criconematidae	Ogma		trigonolepidum		SPECIES							b24d3bd0-e6d9-11dc-8b77-b8a03c50a862	BE	2016-04-17T12:49Z									false	false	7022426	1	5967481	250	972	2552	2284074		7022426	Ogma trigonolepidum	Ogma		TAPIR	2014-05-29T12:06Z	2016-06-28T13:43Z	false
163989860																																																											UGENT	nematodes			PRESERVED_SPECIMEN					100955																																																																																																																		Namibnema papillata Vincx, 1989								Animalia	Nematoda	Adenophorea	Araeolaimida	Axonolaimidae	Namibnema		papillata		SPECIES							b24d3bd0-e6d9-11dc-8b77-b8a03c50a862	BE	2016-04-17T12:49Z									false	false	4349335	1	5967481	251	978	6519	4349334		4349335	Namibnema papillata	Namibnema		TAPIR	2014-05-29T12:06Z	2016-06-28T13:43Z	
163989877																																																											UGENT	nematodes			PRESERVED_SPECIMEN					101144																																																																																																																		Nygolaimus Cobb, 1913								Animalia	Nematoda	Adenophorea	Dorylaimida	Nygolaimidae	Nygolaimus				GENUS							b24d3bd0-e6d9-11dc-8b77-b8a03c50a862	BE	2016-04-17T12:49Z									false	false	7350999	1	5967481	251	446	2588	2282566				Nygolaimus		TAPIR	2014-05-29T12:06Z	2016-06-28T13:43Z	
163990044																																																											UGENT	nematodes			PRESERVED_SPECIMEN					100164																																																																																																																		Sicaguttur Siddiqi, 1970								Animalia	Nematoda	Adenophorea	Dorylaimida	Dorylaimidae	Sicaguttur				GENUS							b24d3bd0-e6d9-11dc-8b77-b8a03c50a862	BE	2016-04-17T12:49Z							TAXON_MATCH_FUZZY		false	false	4631222	1	5967481	251	446	2592	4631222				Sicaguttur		TAPIR	2014-05-29T12:06Z	2016-06-28T13:43Z	
