institutionCode;ownerInstitutionCode;rightsHolder;type;collectionCode;datasetName;basisOfRecord;license;day;month;year;occurrenceID;Acronym;catalogNumber;scientificName_accepted;scientificNameAuthorship;taxonID;taxonRank;kingdom;scientificName;identificationRemarks;otherCatalogNumbers;individualCount;typestatus;sex;locality;Country;geoReferenceRemarks;decimalLatitude;decimalLongitude;eventDate;namePublishedIn;disposition;language
Ugent;Ugent;Ugent;collection;MVD:Nematods;Ghent university - Zoology Museum - Nematod Collection;PreservedSpecimen;https://creativecommons.org/licenses/by/4.0/;7;5;2001;Ugent:UGMD:104033;UGMD;104033;;Raes et;;;;Bathypsilonema lopheliae;collection and data is currently is under review;MDNC4033;10;  Paratype ;1 juvenile J1;;;only georeferenced to country level;;;2001-05-07;;in collection;EN
Ugent;Ugent;Ugent;collection;MVD:Nematods;Ghent university - Zoology Museum - Nematod Collection;PreservedSpecimen;https://creativecommons.org/licenses/by/4.0/;;;;Ugent:UGMD:104034;UGMD;104034;Epsilonema multispiralum Raes, Vanreusel & Decraemer, 2003;Raes, Vanreusel & Decraemer, 2003;5722275;SPECIES;Animalia;Epsilonema multispiralum Raes, Vanreusel & Decraemer, 2003 (Animalia);collection and data is currently is under review;MDNC4034;10;  Paratype ;1 male, 1 female;cold-water coral reef in the Porcupine Seabight;;only georeferenced to country level;;;;;in collection;EN
Ugent;Ugent;Ugent;collection;MVD:Nematods;Ghent university - Zoology Museum - Nematod Collection;PreservedSpecimen;https://creativecommons.org/licenses/by/4.0/;17;06;2000;Ugent:UGMD:104035;UGMD;104035;Glochinema trispinatum Raes, Vanreusel & Decraemer, 2003;Raes, Vanreusel & Decraemer, 2003;4347971;SPECIES;Animalia;Glochinema trispinatum Raes, Vanreusel & Decraemer, 2003 (Animalia);collection and data is currently is under review;MDNC4035;10;  Paratype ;1 juvenile J3  ;Porcupine Seabight;Ireland;only georeferenced to country level;;;;104021;in collection;EN
Ugent;Ugent;Ugent;collection;MVD:Nematods;Ghent university - Zoology Museum - Nematod Collection;PreservedSpecimen;https://creativecommons.org/licenses/by/4.0/;;;;Ugent:UGMD:104036;UGMD;104036;;Raes et;;;;Bathypsilonema lopheliae;collection and data is currently is under review;MDNC4036;10;  Paratype ;1 juvenile J4 ;;;only georeferenced to country level;;;;;in collection;EN
Ugent;Ugent;Ugent;collection;MVD:Nematods;Ghent university - Zoology Museum - Nematod Collection;PreservedSpecimen;https://creativecommons.org/licenses/by/4.0/;;;;Ugent:UGMD:104041;UGMD;104041;Australodorus enigmaticus Coomans, Olmos, Casella & Chaves, 2004;Coomans, Olmos, Casella & Chaves, 2004;7019407;SPECIES;Animalia;Australodorus enigmaticus Coomans, Olmos, Casella & Chaves, 2004 (Animalia);collection and data is currently is under review;ZIRUG 4041;;Holotype   ;1 female;;Paraguay;only georeferenced to country level;-23,442503;-58,443832;;;in collection;EN
Ugent;Ugent;Ugent;collection;MVD:Nematods;Ghent university - Zoology Museum - Nematod Collection;PreservedSpecimen;https://creativecommons.org/licenses/by/4.0/;;;;Ugent:UGMD:104042;UGMD;104042;Australodorus enigmaticus Coomans, Olmos, Casella & Chaves, 2004;Coomans, Olmos, Casella & Chaves, 2004;7019407;SPECIES;Animalia;Australodorus enigmaticus Coomans, Olmos, Casella & Chaves, 2004 (Animalia);collection and data is currently is under review;ZIRUG 4042;;  Paratype ;1 male, 1 juvenile J4;;Paraguay;only georeferenced to country level;-23,442503;-58,443832;;;in collection;EN
Ugent;Ugent;Ugent;collection;MVD:Nematods;Ghent university - Zoology Museum - Nematod Collection;PreservedSpecimen;https://creativecommons.org/licenses/by/4.0/;;;;Ugent:UGMD:104043;UGMD;104043;Australodorus enigmaticus Coomans, Olmos, Casella & Chaves, 2004;Coomans, Olmos, Casella & Chaves, 2004;7019407;SPECIES;Animalia;Australodorus enigmaticus Coomans, Olmos, Casella & Chaves, 2004 (Animalia);collection and data is currently is under review;ZIRUG 4043;;  Paratype ;1 female;;Paraguay;only georeferenced to country level;-23,442503;-58,443832;;;in collection;EN
Ugent;Ugent;Ugent;collection;MVD:Nematods;Ghent university - Zoology Museum - Nematod Collection;PreservedSpecimen;https://creativecommons.org/licenses/by/4.0/;;;;Ugent:UGMD:104044;UGMD;104044;Australodorus enigmaticus Coomans, Olmos, Casella & Chaves, 2004;Coomans, Olmos, Casella & Chaves, 2004;7019407;SPECIES;Animalia;Australodorus enigmaticus Coomans, Olmos, Casella & Chaves, 2004 (Animalia);collection and data is currently is under review;ZIRUG 4044;;  Paratype ;1 female;;Paraguay;only georeferenced to country level;-23,442503;-58,443832;;;in collection;EN
Ugent;Ugent;Ugent;collection;MVD:Nematods;Ghent university - Zoology Museum - Nematod Collection;PreservedSpecimen;https://creativecommons.org/licenses/by/4.0/;;;;Ugent:UGMD:104045;UGMD;104045;Australodorus enigmaticus Coomans, Olmos, Casella & Chaves, 2004;Coomans, Olmos, Casella & Chaves, 2004;7019407;SPECIES;Animalia;Australodorus enigmaticus Coomans, Olmos, Casella & Chaves, 2004 (Animalia);collection and data is currently is under review;ZIRUG 4045;;  Paratype ;1 female;;Paraguay;only georeferenced to country level;-23,442503;-58,443832;;;in collection;EN
Ugent;Ugent;Ugent;collection;MVD:Nematods;Ghent university - Zoology Museum - Nematod Collection;PreservedSpecimen;https://creativecommons.org/licenses/by/4.0/;;;;Ugent:UGMD:104046;UGMD;104046;Australodorus enigmaticus Coomans, Olmos, Casella & Chaves, 2004;Coomans, Olmos, Casella & Chaves, 2004;7019407;SPECIES;Animalia;Australodorus enigmaticus Coomans, Olmos, Casella & Chaves, 2004 (Animalia);collection and data is currently is under review;ZIRUG 4046;;  Paratype ;1 female;;Paraguay;only georeferenced to country level;-23,442503;-58,443832;;;in collection;EN
