id	language	license	rightsHolder	datasetID	datasetName	ownerInstitutionCode	eventID	year	decimalLatitude	decimalLongitude
ALPI019	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ALPI019	1990	46.17760086	8.1906004
ALPI020	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ALPI020	1990	46.17810059	8.21510029
ALPI021	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ALPI021	1990	46.18180084	8.21090031
ALPI022	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ALPI022	1990	46.75030136	10.71759987
ALPI023	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ALPI023	1990	46.22729874	11.08360004
ALPI024	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ALPI024	1990	46.43230057	8.69079971
ALPI025	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ALPI025	1990	46.16590118	8.1541996
ALPI026	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ALPI026	1990	46.74840164	10.64780045
ALPI027	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ALPI027	1990	46.74720001	10.45639992
ALPI028	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ALPI028	1990	46.74860001	11.50590038
ALPI029	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ALPI029	1990	46.92900085	11.16390038
ALPI030	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ALPI030	1990	46.26390076	8.49639988
ALPI031	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ALPI031	1992	46.00839996	8.08889961
ALPS005	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ALPS005	1992	42.48559952	1.73280001
