institutionCode,Acronym,Catalogue number,occurrenceID,genus,scientificName,scientificNameAuthorship,kingdom,scientificName_recon,identificationRemarks,Year,class,Subclassis,Order,otherCatalogNumber,individualCount,typestatus,sex,locality,Country,geoReferenceRemarks,decimalLatitude,decimalLongitude,eventDate,Reference,disposition,Phylum
Ugent,UGMD,102668,UgentUGMD102668,Meloidogyne,"Meloidogyne incognita (Kofoid & White, 1919)"," (Kofoid & White, 1919)",Animalia,"Meloidogyne incognita  (Kofoid & White, 1919) (Animalia)",collection and data is currently is under review,unknown,Chromadorea,Chromadoria,Rhabditida,ZIRUG2668,7,,,Bambesa 18 on Chrysanthenum demersum 1 ,Congo,only georeferenced to country level,-0.228021,15.827659,,,in collection,Nematoda
Ugent,UGMD,102669,UgentUGMD102669,Meloidogyne,"Meloidogyne incognita (Kofoid & White, 1919)"," (Kofoid & White, 1919)",Animalia,"Meloidogyne incognita  (Kofoid & White, 1919) (Animalia)",collection and data is currently is under review,unknown,Chromadorea,Chromadoria,Rhabditida,ZIRUG2669,6,,,"Yangambi, Congo",Democratic Republic of the Congo,only georeferenced to country level,,,,,in collection,Nematoda
Ugent,UGMD,102670,UgentUGMD102670,Meloidogyne,"Meloidogyne incognita (Kofoid & White, 1919)"," (Kofoid & White, 1919)",Animalia,"Meloidogyne incognita  (Kofoid & White, 1919) (Animalia)",collection and data is currently is under review,unknown,Chromadorea,Chromadoria,Rhabditida,ZIRUG2670,6,,,"Yangambi, Congo",Democratic Republic of the Congo,only georeferenced to country level,,,,,in collection,Nematoda
Ugent,UGMD,102671,UgentUGMD102671,Meloidogyne,"Meloidogyne incognita (Kofoid & White, 1919)"," (Kofoid & White, 1919)",Animalia,"Meloidogyne incognita  (Kofoid & White, 1919) (Animalia)",collection and data is currently is under review,unknown,Chromadorea,Chromadoria,Rhabditida,ZIRUG2671,6,,,"Yangambi, Congo",Democratic Republic of the Congo,only georeferenced to country level,,,,,in collection,Nematoda
Ugent,UGMD,102672,UgentUGMD102672,Meloidogyne,"Meloidogyne incognita (Kofoid & White, 1919)"," (Kofoid & White, 1919)",Animalia,"Meloidogyne incognita  (Kofoid & White, 1919) (Animalia)",collection and data is currently is under review,unknown,Chromadorea,Chromadoria,Rhabditida,ZIRUG2672,6,,,"Yangambi, Congo",Democratic Republic of the Congo,only georeferenced to country level,,,,,in collection,Nematoda
Ugent,UGMD,102673,UgentUGMD102673,Meloidogyne,"Meloidogyne javanica (Treub, 1885)"," (Treub, 1885)",Animalia,"Meloidogyne javanica  (Treub, 1885) (Animalia)",collection and data is currently is under review,unknown,Chromadorea,Chromadoria,Rhabditida,ZIRUG2673,6,,,Mont Maye Nyakuni on tabac 21 ,Congo,only georeferenced to country level,-0.228021,15.827659,,,in collection,Nematoda
Ugent,UGMD,102674,UgentUGMD102674,Meloidogyne,"Meloidogyne javanica (Treub, 1885)"," (Treub, 1885)",Animalia,"Meloidogyne javanica  (Treub, 1885) (Animalia)",collection and data is currently is under review,unknown,Chromadorea,Chromadoria,Rhabditida,ZIRUG2674,7,,,Mont Maye Nyakuni on tabac 21 ,Congo,only georeferenced to country level,-0.228021,15.827659,,,in collection,Nematoda
Ugent,UGMD,102675,UgentUGMD102675,Meloidogyne,"Meloidogyne javanica (Treub, 1885)"," (Treub, 1885)",Animalia,"Meloidogyne javanica  (Treub, 1885) (Animalia)",collection and data is currently is under review,unknown,Chromadorea,Chromadoria,Rhabditida,ZIRUG2675,6,,,Mont Hawa  Velea BC 60/15 ,Congo,only georeferenced to country level,-0.228021,15.827659,,,in collection,Nematoda
Ugent,UGMD,102676,UgentUGMD102676,Meloidogyne,"Meloidogyne oteifae Elmiligy, 1968","Elmiligy, 1968",Animalia,"Meloidogyne oteifae Elmiligy, 1968 (Animalia)",collection and data is currently is under review,unknown,Chromadorea,Chromadoria,Rhabditida,ZIRUG2676,6,,,Pueraria javanica Yangambi ,Democratic Republic of the Congo,only georeferenced to country level,,,,,in collection,Nematoda
Ugent,UGMD,102677,UgentUGMD102677,Meloidogyne,"Meloidogyne oteifae Elmiligy, 1968","Elmiligy, 1968",Animalia,"Meloidogyne oteifae Elmiligy, 1968 (Animalia)",collection and data is currently is under review,unknown,Chromadorea,Chromadoria,Rhabditida,ZIRUG2677,7,,,Pueraria javanica Yangambi ,Democratic Republic of the Congo,only georeferenced to country level,,,,,in collection,Nematoda
Ugent,UGMD,102678,UgentUGMD102678,Meloidogyne,"Meloidogyne oteifae Elmiligy, 1968","Elmiligy, 1968",Animalia,"Meloidogyne oteifae Elmiligy, 1968 (Animalia)",collection and data is currently is under review,unknown,Chromadorea,Chromadoria,Rhabditida,ZIRUG2678,4,,,Pueraria javanica Yangambi ,Democratic Republic of the Congo,only georeferenced to country level,,,,,in collection,Nematoda
Ugent,UGMD,102679,UgentUGMD102679,Meloidogyne,"Meloidogyne litoralis Elmiligy, 1968","Elmiligy, 1968",,"Meloidogyne litoralis Elmiligy, 1968 [=> Meloidogyne ardenensis de Santos, 1968] (Life)",collection and data is currently is under review,unknown,Chromadorea,Chromadoria,Rhabditida,ZIRUG2679,4,,,"Ligustrum sp., Ambleteuse ",France,only georeferenced to country level,46.227638,2.213749,,,in collection,Nematoda
Ugent,UGMD,102680,UgentUGMD102680,Meloidogyne,"Meloidogyne litoralis Elmiligy, 1968","Elmiligy, 1968",,"Meloidogyne litoralis Elmiligy, 1968 [=> Meloidogyne ardenensis de Santos, 1968] (Life)",collection and data is currently is under review,unknown,Chromadorea,Chromadoria,Rhabditida,ZIRUG2680,3,,,"Ligustrum sp., Ambleteuse ",France,only georeferenced to country level,46.227638,2.213749,,,in collection,Nematoda
Ugent,UGMD,102681,UgentUGMD102681,Boleodorus,"Boleodorus volutus Lima & Siddiqi, 1963","Lima & Siddiqi, 1963",Animalia,"Boleodorus volutus Lima & Siddiqi, 1963 (Animalia)",collection and data is currently is under review,unknown,Chromadorea,Chromadoria,Rhabditida,ZIRUG 2681,? Niets gevonden,,,Z 38 ,,only georeferenced to country level,,,1970-03-14T23:00:00Z,,in collection,Nematoda
Ugent,UGMD,102682,UgentUGMD102682,Boleodorus,"Boleodorus volutus Lima & Siddiqi, 1963","Lima & Siddiqi, 1963",Animalia,"Boleodorus volutus Lima & Siddiqi, 1963 (Animalia)",collection and data is currently is under review,unknown,Chromadorea,Chromadoria,Rhabditida,ZIRUG 2682,2,,,Z 38 ,,only georeferenced to country level,,,1970-03-14T23:00:00Z,,in collection,Nematoda
Ugent,UGMD,102683,UgentUGMD102683,Boleodorus,"Boleodorus volutus Lima & Siddiqi, 1963","Lima & Siddiqi, 1963",Animalia,"Boleodorus volutus Lima & Siddiqi, 1963 (Animalia)",collection and data is currently is under review,unknown,Chromadorea,Chromadoria,Rhabditida,ZIRUG 2683,2,,,Z 38 ,,only georeferenced to country level,,,1970-03-14T23:00:00Z,,in collection,Nematoda
